customer_id,gender,age,annual_income,spending_score,above_average_income
1,Male,19,15000,39,False
2,Male,21,15000,81,False
3,Female,20,16000,6,False
4,Female,23,16000,77,False
5,Female,31,17000,40,False
6,Female,22,17000,76,False
7,Female,35,18000,6,False
8,Female,23,18000,94,False
9,Male,64,19000,3,False
10,Female,30,19000,72,False
11,Male,67,19000,14,False
12,Female,35,19000,99,False
13,Female,58,20000,15,False
14,Female,24,20000,77,False
15,Male,37,20000,13,False
16,Male,22,20000,79,False
17,Female,35,21000,35,False
18,Male,20,21000,66,False
19,Male,52,23000,29,False
20,Female,35,23000,98,False
21,Male,35,24000,35,False
22,Male,25,24000,73,False
23,Female,46,25000,5,False
24,Male,31,25000,73,False
25,Female,54,28000,14,False
26,Male,29,28000,82,False
27,Female,45,28000,32,False
28,Male,35,28000,61,False
29,Female,40,29000,31,False
30,Female,23,29000,87,False
31,Male,60,30000,4,False
32,Female,21,30000,73,False
33,Male,53,33000,4,False
34,Male,18,33000,92,False
35,Female,49,33000,14,False
36,Female,21,33000,81,False
37,Female,42,34000,17,False
38,Female,30,34000,73,False
39,Female,36,37000,26,False
40,Female,20,37000,75,False
41,Female,65,38000,35,False
42,Male,24,38000,92,False
43,Male,48,39000,36,False
44,Female,31,39000,61,False
45,Female,49,39000,28,False
46,Female,24,39000,65,False
47,Female,50,40000,55,False
48,Female,27,40000,47,False
49,Female,29,40000,42,False
50,Female,31,40000,42,False
51,Female,49,42000,52,False
52,Male,33,42000,60,False
53,Female,31,43000,54,False
54,Male,59,43000,60,False
55,Female,50,43000,45,False
56,Male,47,43000,41,False
57,Female,51,44000,50,False
58,Male,69,44000,46,False
59,Female,27,46000,51,False
60,Male,53,46000,46,False
61,Male,70,46000,56,False
62,Male,19,46000,55,False
63,Female,67,47000,52,False
64,Female,54,47000,59,False
65,Male,63,48000,51,False
66,Male,18,48000,59,False
67,Female,43,48000,50,False
68,Female,68,48000,48,False
69,Male,19,48000,59,False
70,Female,32,48000,47,False
71,Male,70,49000,55,False
72,Female,47,49000,42,False
73,Female,60,50000,49,False
74,Female,60,50000,56,False
75,Male,59,54000,47,False
76,Male,26,54000,54,False
77,Female,45,54000,53,False
78,Male,40,54000,48,False
79,Female,23,54000,52,False
80,Female,49,54000,42,False
81,Male,57,54000,51,False
82,Male,38,54000,55,False
83,Male,67,54000,41,False
84,Female,46,54000,44,False
85,Female,21,54000,57,False
86,Male,48,54000,46,False
87,Female,55,57000,58,False
88,Female,22,57000,55,False
89,Female,34,58000,60,False
90,Female,50,58000,46,False
91,Female,68,59000,55,False
92,Male,18,59000,41,False
93,Male,48,60000,49,False
94,Female,40,60000,40,False
95,Female,32,60000,42,False
96,Male,24,60000,52,False
97,Female,47,60000,47,False
98,Female,27,60000,50,False
99,Male,48,61000,42,True
100,Male,20,61000,49,True
101,Female,23,62000,41,True
102,Female,49,62000,48,True
103,Male,67,62000,59,True
104,Male,26,62000,55,True
105,Male,49,62000,56,True
106,Female,21,62000,42,True
107,Female,66,63000,50,True
108,Male,54,63000,46,True
109,Male,68,63000,43,True
110,Male,66,63000,48,True
111,Male,65,63000,52,True
112,Female,19,63000,54,True
113,Female,38,64000,42,True
114,Male,19,64000,46,True
115,Female,18,65000,48,True
116,Female,19,65000,50,True
117,Female,63,65000,43,True
118,Female,49,65000,59,True
119,Female,51,67000,43,True
120,Female,50,67000,57,True
121,Male,27,67000,56,True
122,Female,38,67000,40,True
123,Female,40,69000,58,True
124,Male,39,69000,91,True
125,Female,23,70000,29,True
126,Female,31,70000,77,True
127,Male,43,71000,35,True
128,Male,40,71000,95,True
129,Male,59,71000,11,True
130,Male,38,71000,75,True
131,Male,47,71000,9,True
132,Male,39,71000,75,True
133,Female,25,72000,34,True
134,Female,31,72000,71,True
135,Male,20,73000,5,True
136,Female,29,73000,88,True
137,Female,44,73000,7,True
138,Male,32,73000,73,True
139,Male,19,74000,10,True
140,Female,35,74000,72,True
141,Female,57,75000,5,True
142,Male,32,75000,93,True
143,Female,28,76000,40,True
144,Female,32,76000,87,True
145,Male,25,77000,12,True
146,Male,28,77000,97,True
147,Male,48,77000,36,True
148,Female,32,77000,74,True
149,Female,34,78000,22,True
150,Male,34,78000,90,True
151,Male,43,78000,17,True
152,Male,39,78000,88,True
153,Female,44,78000,20,True
154,Female,38,78000,76,True
155,Female,47,78000,16,True
156,Female,27,78000,89,True
157,Male,37,78000,1,True
158,Female,30,78000,78,True
159,Male,34,78000,1,True
160,Female,30,78000,73,True
161,Female,56,79000,35,True
162,Female,29,79000,83,True
163,Male,19,81000,5,True
164,Female,31,81000,93,True
165,Male,50,85000,26,True
166,Female,36,85000,75,True
167,Male,42,86000,20,True
168,Female,33,86000,95,True
169,Female,36,87000,27,True
170,Male,32,87000,63,True
171,Male,40,87000,13,True
172,Male,28,87000,75,True
173,Male,36,87000,10,True
174,Male,36,87000,92,True
175,Female,52,88000,13,True
176,Female,30,88000,86,True
177,Male,58,88000,15,True
178,Male,27,88000,69,True
179,Male,59,93000,14,True
180,Male,35,93000,90,True
181,Female,37,97000,32,True
182,Female,32,97000,86,True
183,Male,46,98000,15,True
184,Female,29,98000,88,True
185,Female,41,99000,39,True
186,Male,30,99000,97,True
187,Female,54,101000,24,True
188,Male,28,101000,68,True
189,Female,41,103000,17,True
190,Female,36,103000,85,True
191,Female,34,103000,23,True
192,Female,32,103000,69,True
193,Male,33,113000,8,True
194,Female,38,113000,91,True
195,Female,47,120000,16,True
196,Female,35,120000,79,True
197,Female,45,126000,28,True
198,Male,32,126000,74,True
199,Male,32,137000,18,True
200,Male,30,137000,83,True
